to educate ,opleiden
education,opleiding/onderwijs
nursery school/,kleuterschool
 kindergarten,kleuterschool
primary school,basisschool
secondary school/,middelbare school
high school,middelbare school
comprehensive (school),scholengemeenschap
grammar school,gymnasium
college,hoger onderwijs
boarding school,kostschool
subject,vak
to innovate,vernieuwen
innovation,vernieuwing
innovative,vernieuwend
to graduate,afstuderen
graduate,afgestudeerde
to be bored,zich vervelen
boring/dull/tedious,saai
term,trimester/periode
mark/grade,cijfer
to pass,slagen voor
to fail,zakken voor
pass/pass mark,een voldoende
! fail/fail mark,een onvoldoende
mathematics/maths,wiskunde
unless,tenzij
average,gemiddeld
! diary,agenda
diary,dagboek
