to behave,zich gedragen
behaviour,gedrag
(mis)conduct,(wan)gedrag
to punish,straffen
punishment,straf
rude,onbeschoft
to justify,rechtvaardigen
justification,rechtvaardiging
to admit,toegeven
to obey,gehoorzamen
to disobey,niet gehoorzamen
(dis)obedient,(on)gehoorzaam
(dis)obedience,(on)gehoorzaamheid
obstinate/stubborn,koppig
frank/candid,openhartig
(in)consistent,(in)consequent
inconsistency,inconsequentie
vain,ijdel
(dis)honest,(on)eerlijk
to deceive,bedriegen
honesty,eerlijkheid
virtue,deugd/goede eigenschap
vice,ondeugd/slechte eigenschap
patience,geduld
(im)patient,(on)geduldig
(dis)loyal,(on)trouw
inclined,geneigd
liable/apt,geneigd
to harass,lastigvallen
harassment,intimidatie
