guardian,voogd
marital,huwelijks-
core,kern
infant,baby/peuter
to part,uit elkaar gaan
matrimony,huwelijk
offspring,afstammelingen
casual,oppervlakkig
next of kin,naaste familieleden
minor,minderjarige
posterity,het nageslacht
flaw,foutje
in vogue,in de mode
conspicuous,opvallend
garment,kledingstuk
(in)appropriate,(niet)passend
undertaker,begrafenisondernemer
(in)edible,(niet)eetbaar
distinct,duidelijk
utensil,gebruiksvoorwerp
appliance,apparaat
domestic,huishoudelijk
starvation,honger
all but,bijna
booze,drank
to devastate,verwoesten
to comply with,voldoen aan
to conduct,dirigeren/leiden
necessity,noodzaak
