measure,maatregel
to reverse,omdraaien
the reverse,het omgekeerde
role reversal,rolwisseling
to pretend,doen alsof
pretence,voorwendsel
trick,streek/truc
miser,vrek/gierigaard
mean,gierig
mean,gemeen
authority,gezag
to provoke,uitlokken
sense of,gevoel voor 
naughty,ondeugend
intruder,indringer
similar,dezelfde/soortgelijk
similarly ,op dezelfde manier
similarity,overeenkomst
to apply to,gelden voor
craze/fad,rage
! to realise,beseffen
consequence,gevolg
consequently,als gevolg/daarom
to quarrel/to argue,ruziemaken
quarrel,ruzie
argument,ruzie
  row,ruzie
to insult,beledigen
"offend, to",beledigen
offence,belediging
insult,belediging
furious,woedend
offensive,beledigend
to flatter,vleien
(im)polite,(on)beleefd
