to tease,plagen
to obtain/to get,krijgen
to persevere,volhouden
to agree,het eens zijn
to disagree,het oneens zijn
agreement,overeenstemming
disagreement,meningsverschil
on purpose,expres/met opzet
deliberately,expres/met opzet
harm,kwaad
to harm,kwaad doen
harmful,schadelijk
harmless,onschadelijk
affair,zaak
to warn,waarschuwen
warning,waarschuwing
to decide,besluiten/beslissen
decision,besluit/beslissing
decisive,beslissend
addicted,verslaafd
addict,verslaafde
addiction,verslaving
addictive,verslavend
to detox,afkicken
! detox centre,afkickcentrum
! rehab centre,afkickcentrum
compulsive,dwangmatig
to seek help (sought-sought),hulp zoeken
