spectator,toeschouwer
stadium,stadion
to cancel,afgelasten
"call off, to",afgelasten
to deserve,verdienen
to beat   (beat – beaten),verslaan
to defeat,verslaan
defeat,nederlaag
win/victory,overwinning
draw,gelijk spel
to replace,vervangen
to support,steunen
to reach,bereiken
to promote,bevorderen
pitch,veld
artificial grass,kunstgras
to go in for,doen aan
exhausted/worn out,uitgeput
exhausting,erg vermoeiend
exhaustion,uitputting
to exchange,ruilen/uitwisselen
to challenge,uitdagen
challenge,uitdaging
event,gebeurtenis/  evenement
event,nummer
to cheer,juichen
referee,scheidsrechter
fair,sportief/eerlijk
to devote to,wijden aan
keen,enthousiast
contest,wedstrijd
