lane,rijstrook
to avoid,vermijden
rush hour,spitsuur
traffic,verkeer
to prevent,voorkomen
the prevention of,het vookomen van
speed limit,maximumsnelheid
to exceed,overschrijden
pedestrian,voetganger
pavement,trottoir/stoep
accidentally,per ongeluk
curve/bend,bocht
to appear,verschijnen
to disappear,verdwijnen
cautious/careful,voorzichtig
careless,onvoorzichtig
due to,te wijten aan
owing to,te wijten aan
caution!,pas op!
error/mistake,fout
to overtake,inhalen
sign,teken
(road) sign,verkeersbord
signpost,wegwijzer
to indicate,aangeven
indication,aanwijzing
driving licence,rijbewijs
to blame,de schuld geven
blame,schuld
my fault,mijn schuld
to occur,gebeuren
"happen, to",gebeuren
death toll,dodental
toll,tol/tolgeld
destination,bestemming
