lorry/truck,vrachtwagen
abroad,in het buitenland
hitchhiker,lifter
border/frontier,grens
to collide,botsen
collision,botsing
injured,gewond
injury,verwonding
damage,schade
to damage,beschadigen
to adjust,verstellen
belt,gordel/riem
traffic jam,opstopping
queue,file
tailback,file
fuel,brandstof
petrol ,benzine
gas (AE),benzine
to run out,opraken
economical,zuinig
suitcase,koffer
boot,bagageruimte
mechanic,monteur
bonnet,motorkap
engine,motor
gear,versnelling
to brake,remmen
brake,rem
inevitable,onvermijdelijk
spare part/spare,reserveonderdeel
vehicle,voertuig
"hire, to",huren
"rent, to",huren
to cover,afleggen
characteristic,kenmerk
  feature,kenmerk
