resort,vakantieoord
main,voornaamste
chief,voornaamste
mainly/chiefly,voornamelijk
to surround,omringen
surroundings,omgeving
to explore,verkennen
form,formulier
(in)valid,(on)geldig
visa,visum
"apply for, to ",aanvragen
application,aanvraag
equipment,uitrusting
gear,uitrusting
"put up, t0",opzetten
"arrange, to",regelen
sight,bezienswaardigheid
leaflet,folder
to recommend,aanbevelen
oriental,oosters
tiring,vermoeiend
worthwhile,de moeite waard
otherwise,anders
space,de ruimte
to be stuck,vastzitten
chain,keten
resident,hotelgast
no vacancy,vol
dear/expensive,duur
moreover/besides,bovendien
