jaw,kaak
to hunt,jagen
to catch (caught - caught),vangen
trap,val
to sting (stung - stung),steken
ant,mier
to create,scheppen/creëren
creature,schepsel/wezen
herd,kudde
barn,schuur
cage,kooi
somehow,op de een of andere manier
to tie,vastbinden
swift,snel
seal,zeehond
to chase,achternazitten
prey,prooi
bird of prey,roofvogel
to dig (dug-dug),graven
whale,walvis
mammal,zoogdier
pedigree,stamboom
game,wild
beware of,pas op voor
animal shelter,dierenasiel
to abuse ,mishandelen
cruel,wreed
cruelty,wreedheid
predator,roofdier
track,spoor
