to pollute,vervuilen
pollution,vervuiling
environment,milieu
environmental,milieu-
environmentally friendly,milieuvriendelijk
general,algemeen
forest,woud
enormous/huge/vast,enorm
  vast,enorm
sanctuary,reservaat
rare,zeldzaam
species,soort
to vanish/  to disappear ,verdwijnen
summit,top
(in)visible,(on)zichtbaar
to cover,bedekken
steep,steil
slope,helling
trail,pad
edge,rand
landmark,herkenningspunt
cave,grot
beyond,achter/voorbij
earthquake,aardbeving
disaster,ramp
calamity,ramp
  catastrophe,ramp
disastrous,rampzalig
habitat,biotoop/leefgebied
desert,woestijn
to wander,zwerven
gipsy,zigeuner
