scenery,natuurschoon
to conserve,behouden
nature conservation,natuurbescherming
conservationist,natuurbeschermer
to protect,beschermen
environmentalist,milieubeschermer
power station,elektriciteitscentrale
to spoil (spoilt-spoilt) ,bederven
toxic,giftig
endangered ,bedreigd
extinct,uitgestorven
extinction,uitsterving
to threaten,bedreigen
threat,bedreiging
to depend on,afhangen van
dependent on,afhankelijk van
radiation,straling
layer,laag
globe,wereld(bol)
global,wereldwijd/mondiaal
at the expense of,ten koste van
variety,verscheidenheid
various,verschillende
to insulate,isoleren
insulation,isolatie
to bring about,veroorzaken
to dispose of,weggooien
to dispose of,verwijderen
the disposal,verwijdering
disposable,wegwerp-
biodegradable,biologisch afbreekbaar
