liquid,vloeistof
current,stroming
source,bron
principal/main,voornaamste
shallow,ondiep
bank,oever (van rivier)
shore,oever (van meer)
course,loop
moist,vochtig
high tide,vloed
low tide,eb
to float,drijven
surface,oppervlakte
smooth,glad
artificial,kunstmatig
foam,schuim
contaminated,verontreinigd/vervuild
swamp,moeras
to drain,droogleggen
well,put/bron
pond,vijver
shape,vorm
to drown,verdrinken
to cling   (clung – clung),zich vastklemmen
to flood,overstromen
flood,overstroming
mud,modder
to protect,beschermen
protection,bescherming
to attempt/to try,proberen
attempt,poging
