theft,diefstal
precaution,voorzorgsmaatregel
to report,aangifte doen van
trace,spoor
to trace/track down,opsporen
to pursue,achtervolgen
to divide,verdelen
to stab,steken
to blackmail,chanteren
to rape,verkrachten
rape,verkrachting
act,daad
rapist,verkrachter
to deny,ontkennen
denial,ontkenning
victim,slachtoffer
to abuse,misbruiken/mishandelen
abuse,misbruik/mishandeling
to describe,beschrijven
description,beschrijving
accurate,nauwkeurig
inaccurate,onnauwkeurig
accuracy,nauwkeurigheid
inaccuracy,onnauwkeurigheid
to smash,stukslaan
bar,staaf
to rob,beroven
to disguise,vermommen
cannabis nursery,hennepkwekerij
security/safety,veiligheid
(in)secure/(un)safe,(on)veilig
