shoplifter,winkeldief
shoplifting,winkeldiefstal
pickpocket,zakkenroller
to belong to,horen bij
juvenile,jeugd-
accomplice,medeplichtige
notorious,berucht
to accuse (of),beschuldigen van
to charge (with),beschuldigen (van)
accusation/charge,beschuldiging
fraud,fraude
involved in,betrokken bij
file,dossier
to reveal/to disclose,onthullen
revelation,onthulling
to mug,met geweld beroven
ransom,losgeld
prohibited,verboden
  forbidden,verboden
prohibition,verbod
to loot,plunderen
to establish,vaststellen
force,geweld
to hit (hit - hit),raken/treffen
to strike (struck - struck),raken/treffen
to detect,opsporen
to bribe,omkopen
bribe,smeergeld/steek-
to allege,beweren
allegation,bewering/aantijging
(in)capable of,(niet) in staat tot
to torture,martelen
