legal,juridisch
illegal,onwettig/illegaal
! lawyer,jurist/advocaat
premises,pand/terrein
trial,proces
to purchase (formeel),kopen
lawsuit,rechtszaak
court,rechtbank
! solicitor,advocaat
! barrister,advocaat
witness,getuige
eyewitness,ooggetuige
to witness,getuige zijn van
evident,duidelijk
obvious,duidelijk
  clear,duidelijk
truth,waarheid
judge,rechter
to judge,(be)oordelen
judgement,oordeel/uitspraak
evidence/proof,bewijs
exhibit,bewijsstuk
to defend,verdedigen
defence,verdediging
the accused/the defendant,de beklaagde
"acquit, to",vrijspreken
to doubt,(be)twijfelen
doubt,twijfel
to confess,bekennen
