relationship,relatie
engaged,verloofd
fiancée,verloofde
engagement,verloving
to celebrate,vieren
to divorce,scheiden
divorce,scheiding
because of,vanwege
to live together,samenwonen
  to cohabit,samenwonen
to separate,uit elkaar gaan
single,alleenstaand
to desert,in de steek laten
to bring up/to raise,grootbrengen
foster parents,pleegouders
stepfather,stiefvader
relative,familielid
orphan,wees(kind)
ancestor,voorouder
to descend from,afstammen van
descendant,afstammeling
bachelor,vrijgezel
parental,ouderlijk
adult,volwassene
grown-up,volwassen
to regard/consider,beschouwen
acquaintance,kennis
striking,opvallend
in common,gemeen(schappelijk)
among,onder/te midden van
to owe,te danken hebben
fellow,kerel/vent
bloke/guy/chap,kerel/vent
