innocent,onschuldig
innocence,onschuld
to prove,bewijzen
to prove/turn out,blijken
guilt,schuld
guilty,schuldig
to find guilty,schuldig bevinden
to plead guilty,schuld bekennen
prison/jail,gevangenis
to jail,gevangen zetten
to prosecute,vervolgen
prosecution,vervolging
prosecutor,officier van justitie
defence counsel,verdediger
to object (to),bezwaar maken (tegen)
objection,bezwaar
oath,eed
warder/guard,bewaker
to legalise,legaliseren
legislation,wetgeving
task,taak
to state,verklaren
statement,verklaring
penalty,straf
death penalty,doodstraf
capital punishment,doodstraf
libel/slander,laster/smaad
plea,pleidooi
to testify,getuigen
testimony,getuigenverklaring
verdict,uitspraak (van jury)
custody,voogdij
in custody,in hechtenis
