to maintain,handhaven
to sue,aanklagen
(in)competent,(on)bekwaam
(in)competence,(on)bekwaamheid
effort,poging/inspanning
to contradict,tegenspreken
contradiction,tegenstrijdigheid
contradictory,tegenstrijdig
manslaughter,doodslag
case,(rechts)zaak
versus,versus/tegen
offence,overtreding
offender,overtreder
community  sentence,taakstraf/werkstraf
community service,taakstraf/werkstraf
major,belangrijk/groot
minor,minder belangrijk/ klein
sentence,straf
life sentence,levenslang
to sentence (to),veroordelen (tot)
to convict (of),veroordelen (voor)
convict/inmate,gevangene
conviction,veroordeling
to convince,overtuigen
conviction,overtuiging
to release,vrijlaten
on bail,op borgtocht
apparently,blijkbaar
to release on ,voorwaardelijk 
  parole,  vrijlaten
