politics,politiek
parliament,parlement
politician,politicus
Member of,parlementslid
! House of Commons,Lagerhuis
! House of Lords,Hogerhuis
government,regering
to govern,regeren
administration (AE),regering
minister/secretary,minister
prime minister,minister-president
foreign secretary  ,minister van  Buitenlandse Zaken
Foreign Office,ministerie van  Buitenlandse Zaken
home secretary,minister van Binnenlandse Zaken
Home Office,ministerie van  Binnenlandse Zaken
domestic/internal,binnenlands
policy,beleid
to elect,kiezen
election,verkiezing
constituency,kiesdistrict
to represent,vertegenwoordigen
representative,vertegenwoordiger
(town) council,gemeenteraad
