constitution,grondwet
freedom of speech,vrijheid van meningsuiting
according to,volgens
civil servant,ambtenaar
the civil service,overheidsdienst
bill,wetsontwerp
to pass,aannemen (van wet)
debate,debat
aim/purpose,doel
act,wet
to declare,verklaren
declaration,verklaring
to vote,stemmen
vote,stem
polling station,stembureau
majority,meerderheid
minority,minderheid
to restrict/to limit,beperken
restriction,beperking
margin,marge
to be in charge,de leiding hebben
ally,bondgenoot
alliance,bondgenootschap
to accompany,vergezellen
(il)legitimate,(on)wettig
exile,ballingschap
independence,onafhankelijkheid
independent,onafhankelijk
riot,relletje
to condemn,veroordelen
common,gemeenschappelijk
issue,vraagstuk/kwestie
