to consist of,bestaan uit
delicious,heerlijk
to cater for,verzorgen
chef,kok
to prefer,liever hebben
preference,voorkeur
sober,nuchter
landlord,caféhouder/waard
pub,café
café,cafetaria/eethuisje
to decline,afslaan
to contain,bevatten
spirits/liquor,sterke drank
waiter,ober
to serve,bedienen
waitress,serveerster
server,bedieningsmedewerker
reasonable,redelijk
clumsy,onhandig
to complain,klagen
complaint,klacht
(un)necessary,(on)nodig
to decay,bederven
perishable,bederfelijk
licence,vergunning
liquid,vloeistof
drink/beverage,drank
soda (AE),frisdrank
instead of,in plaats van
to swallow,slikken
to choke,stikken
