provisional,voorlopig
to recognize,erkennen
to recognize,herkennen
civil rights,burgerrechten
(opinion) poll,(opinie)peiling
with regard to,met betrekking tot
  regarding,met betrekking tot
opinion/view,mening
to clash,botsen
treaty,verdrag
to restore,herstellen
to violate,schenden
violation,schending
to fail,mislukken
failure,mislukking
(in)significant,(on)belangrijk
significance,belang(rijkheid)
scheme,plan/project
to back,steunen
to implement,uitvoeren
to oppose,zich verzetten tegen
opposition,verzet
opponent,tegenstander
refugee,vluchteling
to flee (fled - fled),vluchten
asylum,asiel
asylum seeker,asielzoeker
to persecute,vervolgen
persecution,vervolging
