means,middel
verbal,verbaal/met woorden
gesture,gebaar
to propose/suggest,voorstellen
proposal,voorstel
to reject,verwerpen/afwijzen
item,(agenda)punt
to confirm,bevestigen
confirmation,bevestiging
to imply,betekenen/inhouden
to imply,laten doorschemeren
to focus,richten/concentreren
focus,middelpunt
particular,bijzonder/speciaal
particulars,bijzonderheden/ details
details,bijzonderheden/ details
(ir)relevant,(on)belangrijk
relevance,relevantie/belang
to notice,(op)merken
noticeable,merkbaar
rumour,gerucht
spokesperson,woordvoerder
to comment,commentaar geven
comment,commentaar
the press,de pers
questionnaire,vragenlijst
survey,enquête/onderzoek
to conduct,uitvoeren
"random, at",willekeurig
randomly,willekeurig
to complete,voltooien
