neighbourhood,buurt
cellar,kelder
access,toegang
(in)accessible,(on)toegankelijk
to collapse,instorten
real estate/property,onroerend goed
estate agent,makelaar
(in)convenience,(on)gemak
squatter,kraker
to refuse,weigeren
to demolish,afbreken/slopen
demolition,afbraak/sloop
to move,verhuizen
reason,reden
attic,zolder
junk,troep/rommel
lavatory,toilet
loo,toilet/plee
bathroom (AE),toilet
restroom (AE),toilet
chore,klusje
settee/couch/sofa,zitbank
couch potato,bankhanger
to shift,verplaatsen
log,houtblok
to match,passen bij
to decorate,versieren
remote,afgelegen/ver
remote control,afstandsbediening
to lock,op slot doen
furniture,meubelen
duvet,dekbed
blanket,deken
