health,gezondheid
healthy,gezond
flu/influenza,griep
disease/illness,ziekte
case,geval
to cause,veroorzaken
cause,oorzaak
germ,bacterie
risk,risico
ordinary,gewoon
to consult,raadplegen
to examine,onderzoeken
tranquilliser,kalmeringsmiddel
label,etiket
habit,gewoonte
disabled,gehandicapt/invalide
disability,handicap
still,nog steeds
still (aan begin zin),toch
to breathe,ademen
asset,waardevol bezit
chest,borstkas
paralysed,verlamd
kidney,nier
sore throat,keelpijn
vein,ader
oxygen,zuurstof
contraceptive,voorbehoedmiddel
pregnant,zwanger
pregnancy,zwangerschap
to get rid of,kwijtraken
to hurt,pijn doen
to have a fever,koorts hebben
