wholesale,groothandel
retail,detailhandel
retailer,detailhandelaar/winkelier
debt,schuld
to go bankrupt/ ,failliet gaan
  to go broke,failliet gaan
to go bust,failliet gaan
setback,tegenslag
from scratch,vanaf het begin
to insure,verzekeren
insurance,verzekering
to cover,dekken
to establish/,oprichten/stichten
  to found,oprichten/stichten
to transfer,overplaatsen
to locate,vestigen
to profit/to benefit ,profiteren
prosperous,welvarend
prosperity,welvaart
to boost,stimuleren
turnover,omzet
to invent,uitvinden
invention,uitvinding
recession/slump,recessie
boom,snelle groei
to boom,snel groeien
supply and demand,vraag en aanbod
equivalent,equivalent
to switch (to),overschakelen (op)
auction,veiling
warehouse ,pakhuis/magazijn
