matter,zaak
to borrow,lenen (van)
to lend (lent-lent),lenen (aan)
loan,lening
interest,rente
rate,tarief/percentage
bill,rekening
(bank)note,bankbiljet
bill (AE),bankbiljet
to owe,schuldig zijn
amount,bedrag/hoeveelheid
wealth,rijkdom
wealthy,rijk
to inherit,erven
inheritance,erfenis
heir,erfgenaam
heiress,erfgename
value,waarde
valuable,kostbaar/waardevol
valuables,kostbaarheden
to beg,bedelen
beggar,bedelaar
generous,gul/vrijgevig
! ATM,geldautomaat
cashpoint,geldautomaat
cash dispenser,geldautomaat
cash machine,geldautomaat
debit card,bankpas
bank card,bankpas
to charge,rekenen
free/free of charge,gratis
to fund,financieren
to bargain  ,onderhandelen/afdingen
