to rent,huren
rent,huur
to rent out/to let,verhuren
to let/for rent,te huur
tenant,huurder
landlady,hospita
! landlord,huisbaas
to own,bezitten
owner,eigenaar
to furnish,meubileren
site,terrein/plek
fragile,breekbaar
solid,stevig
bulb,gloeilamp
to stick  (stuck - stuck),vastzitten
stain,vlek
cosy,gezellig/knus
burglar,inbreker
thoroughly,grondig
fence,hek/schutting
barbed wire,prikkeldraad
to repair/fix/mend,repareren
glue,lijm
orchard,boomgaard
nursery,kwekerij
axe,bijl
root,wortel
tool,gereedschap
to mow,maaien
proper,geschikt/juist
to creep   (crept –crept),kruipen
gap,opening/gat
