to approach,naderen
approach,nadering
approach,benadering
delay,vertraging
delayed,vertraagd
to prolong,verlengen
rarely/seldom,zelden
annual,jaarlijks
outdated,verouderd
unprecedented,ongekend
advance/progress  ,vooruitgang/  vordering
in advance,vooraf/vooruit
decade,decennium/10 jaar
to precede,voorafgaan aan
adolescence,puberteit
adolescent,puber
transition,overgang
! peer group,peergroup
to succeed,opvolgen
successor,opvolger
predecessor,voorganger
long-term,lange-termijn
short-term,korte-termijn
senior citizen,bejaarde/senior
previous,vorig
previously,daarvoor/eerder
anniversary,verjaardag/
anniversary,  jubileum
wedding anniversary,trouwdag
