mind,geest
to mind,erg vinden
to mind,denken om/letten op
to mind,zich bemoeien met
clever/bright/smart,knap/slim
to assume,aannemen
assumption,veronderstelling
to imagine,zich voorstellen
imagination,fantasie
imaginary/fictional,denkbeeldig/  verzonnen
to ignore,negeren
common sense,gezond verstand
conscious of/aware of,zich bewust van
awareness,besef
to solve,oplossen
solution,oplossing
conscience,geweten
respect,opzicht
to occur to,opkomen bij
lunatic/madman,gek
to determine,bepalen
determined,vastberaden
determination,vastberadenheid
to console/comfort,troosten
consolation/comfort,troost
to remind of,herinneren aan
superstition,bijgeloof
superstitious,bijgelovig
