to prescribe,voorschrijven
prescription,recept
against,tegen
to treat,behandelen
treatment,behandeling
surgeon,chirurg
to operate on,opereren
operation/surgery,operatie 
surgery,spreekkamer
surgery hours,spreekuur
plastic surgery,plastische chirurgie
to perform,uitvoeren
general practitioner/GP,huisarts
physician,arts
ought to,moet/zou moeten
in vain,tevergeefs
directions,aanwijzingen/instructies
to bear/to endure,verdragen/uithouden
unbearable,ondragelijk
to recover,herstellen
recovery,herstel
to tempt,in de verleiding  brengen
temptation,verleiding
to resist,weerstaan
resistance,weerstand
irresistible,onweerstaanbaar
hangover,kater
whether/if,of
pharmacy,apotheek
! medicine/drug,medicijn
to ensure,ervoor zorgen
