to cheat,bedriegen
firm,vastberaden
sensible,verstandig
cunning/sly,sluw/listig
credible,geloofwaardig
credibility,geloofwaardigheid
incredible,ongelooflijk
to face,onder ogen zien
to be faced with,geconfronteerd worden met
complicated/  intricate,ingewikkeld
absorbed in,verdiept in
narrow-minded,bekrompen
liberal,ruimdenkend/liberaal
to persuade,overreden/overhalen
curious,nieuwsgierig
curiosity,nieuwsgierigheid
to judge,beoordelen
circumstance,omstandigheid
to acknowledge,erkennen
ridiculous,belachelijk
to ridicule,belachelijk maken
omen,voorteken
to concern,aangaan/betreffen
to distract,afleiden
to stand,uitstaan
distraction,afleiding
to commemorate,herdenken
evil,(het) kwaad
witch,heks
spell,betovering
to associate,in verband brengen/  associëren
