prejudice,vooroordeel
prejudiced,bevooroordeeld
to interfere in,zich bemoeien met
interference ,bemoeienis/inmenging
to betray,verraden
betrayal,verraad
traitor,verrader
to insist on (+ -ing),erop staan/aandringen op
aim/goal/objective,doel
to consider,overwegen
to disregard,negeren
disregard,onverschilligheid/desinteresse
to regret,spijt hebben
regret,spijt
spirit,geest
spiritual,geestelijk
myth,mythe
to trust,vertrouwen
to distrust,wantrouwen
to (pre)dominate,overheersen
(pre)dominance,overheersing
to exist,bestaan
existence,bestaan
faithful/loyal,trouw
nerve,lef/durf
mutual,wederzijds
insight (into),inzicht (in)
to memorise/,uit het hoofd 
  learn by heart,  leren
