to worry,zich zorgen maken
worried/concerned,bezorgd
worry/concern,bezorgheid/zorg
grateful,dankbaar
gratitude,dankbaarheid
fuss,drukte
tense,gespannen
tension,spanning
to envy,benijden
jealousy/envy,jaloezie/afgunst
jealous/envious,jaloers
to matter,belangrijk zijn
anger,woede
angry (with),boos (op)
indignant,verontwaardigd
indignation,verontwaardiging
pride,trots
proud (of),trots (op)
to confide,toevertrouwen
confidence,vertrouwen
confidential,vertrouwelijk
confident,vol vertrouwen
insecure,onzeker
to overcome,overwinnen
insecurity,onzekerheid
to embarrass,in verlegenheid brengen
embarrassment,verlegenheid
embarrassing,pijnlijk
tough,moeilijk/zwaar
to bother,lastigvallen
to bother,dwars zitten
to bother,moeite doen
suspense,spanning
