(in)sincere,(on)oprecht
sincerity,oprechtheid
revenge,wraak
to revenge,wreken
to beg,smeken
to tremble,beven
rage,woede
grudge,wrok
contempt,minachting
gorgeous,schitterend
magnificent,schitterend
marvellous,schitterend
passion,passie/grote liefde
passionate,fanatiek/gedreven/vurig/hartstochtelijk
to control oneself,zich beheersen
self control,zelfbeheersing
despair,wanhoop
to despair,wanhopen
desperate,wanhopig
to adore,dol/gek zijn op
to exaggerate,overdrijven
to long for,verlangen naar
to reassure,geruststellen
delight/joy,vreugde/blijdschap
hatred/hate,haat
desire,verlangen
to tolerate,tolereren
(in)tolerable,(on)draaglijk
zero tolerance,nul tolerantie
(in)tolerant,(on)verdraagzaam
"consideration, to take into",rekening houden met
"account, to take into",rekening houden met
