to admire,bewonderen
admiration,bewondering
admirable,bewonderenswaardig
obsessed (with),bezeten (van)
to loathe,een grote hekel hebben aan
to annoy/to irritate,irriteren/ergeren
annoyance/irritation,ergernis
remorse,wroeging
shy/timid,verlegen
mood,stemming
to disappoint,teleurstellen
disappointment,teleurstelling
to appeal to,aantrekken
appeal,aantrekkingskracht
sorrow/grief,verdriet
to mourn,rouwen om
sensitive (to),gevoelig (voor)
sensitivity (to),gevoeligheid (voor)
cheerful,opgewekt
weird,erg vreemd
pity,medelijden
to scare/to frighten,bang maken
to be fed up,het zat zijn
inhibited,geremd
inhibition,remming
urge,(aan)drang
urgent,dringend/urgent
to satisfy,tevreden stellen
(dis)satisfied,(on)tevreden
satisfaction,tevredenheid
satisfaction,  voldoening
(un)satisfactory,(on)bevredigend
tie/bond,band
to embrace,omhelzen
