scholarship,studiebeurs
to enable,in staat stellen
to assess,beoordelen
assessment,beoordeling
primary,eerste/voornaamste
to grant,verlenen
degree,graad
undergraduate,bachelorstudent
neglect,verwaarlozing
negligible,verwaarloosbaar
negligence,slordigheid
attentive,oplettend
altogether,helemaal
gift/talent,aanleg/talent
aptitude,aanleg/talent
survey,overzicht
to be proficient,goed beheersen
language proficiency,taalvaardigheid
to acquire,(ver)krijgen
acquisition,aanwinst/aankoop
linguistics,taalwetenschap
linguist,taalkundige
to suspend,schorsen
to expel ,wegsturen
to be at stake,op het spel staan
but,behalve
tuition,onderwijs 
intended,bedoeld
masculine,mannelijk
feminine,vrouwelijk
