complexion,gelaatskleur/teint
limbs,ledematen
to pierce/to puncture,doorboren
fatigue,vermoeidheid
lap,schoot
vigour,kracht/energie
vigorous,sterk/energiek
feeble,zwak
to crush,verpletteren
sample,monster
to caress,strelen
to seize,grijpen
to pant,hijgen
to stoop,bukken
to rub,wrijven
to drag,slepen
to stagger,wankelen
to twist,draaien
to tap,tikken/kloppen
to glance,even kijken
to fling,gooien/smijten
to dodge,ontwijken
to shiver,huiveren/rillen
to faint/pass out,flauwvallen
sight,het zien van
sight,gezicht
to lose sight of,uit het oog verliezen
to shudder,huiveren
skeleton,skelet
