malignant,kwaadaardig
to relieve,verlichten
to alleviate,verlichten
to soothe ,verlichten
to monitor,controleren
to ensure,ervoor zorgen
tranquil,rustig/kalm
to ascertain,vaststellen
maternity,moederschap
to be bound to,wel moeten
safeguard,bescherming/
safeguard,  voorzorg
to safeguard,beschermen
to deteriorate,slechter worden
sane,gezond van geest
sanity,geestelijke gezondheid
insanity,krankzinnigheid
to perish,omkomen
late,overleden
deceased,overleden
lethal,dodelijk
dose,dosis
in accordance with,overeenkomstig
consciousness,bewustzijn
solemn,plechtig
plague,pest
mortality,sterfte(cijfer)
for the sake of,in het belang van/vanwege
to be prevalent ,vaak voorkomen
nevertheless,toch/desondanks
to ache,pijn doen
