detached,vrijstaand
semi-detached,half-vrijstaand
terraced house,rijtjeshuis
beam,balk
to sustain,steunen/dragen
cottage,huisje
quaint/picturesque,schilderachtig
porch,veranda
porch,portiek
humble,eenvoudig/bescheiden
to peep,gluren
faint,zwak/vaag
to insert,insteken
damp,vochtig
to entail,met zich meebrengen
spark,vonk
utter,volkomen/totaal
patch,plek
threshold,drempel
to gather,verzamelen
to chop,hakken
to uproot,ontwortelen
property,onroerend goed
property,eigenschap
chest,kist
estate,woonwijk
estate,landgoed
fragrance,geur
scent,geur
fragrant,geurig
to be about to,op het punt staan
to see to,ervoor zorgen
bare,kaal
