to interrupt,onderbreken
proverb,spreekwoord
gossip,roddel
to utter,uiten
remark,opmerking
remarkable,bijzonder/opmerkelijk
bilingual,tweetalig
native language,moedertaal
native tongue/ ,moedertaal
  mother tongue,moedertaal
subject,onderwerp
curious,eigenaardig
chairman/,voorzitter
  chairwoman,voorzitster
chairperson/chair,voorzitter (m/v)
dumb,stom
to emphasise/,benadrukken
  to stress,benadrukken
emphasis/stress,klemtoon/nadruk
fluent,vloeiend
interpreter,tolk
to confuse,in verwarring brengen
confused,verward/in de war
confusing,verwarrend
confusion,verwarring
account,verslag
understatement,understatement 
narrator,verteller
to hesitate,aarzelen
hesitation,aarzeling
silence,stilte
silent,stil/zwijgend
