(in)audible,(on)hoorbaar
to exclaim,uitroepen
to deliberate,overleggen
coarse,ruw/grof
to observe,opmerken
observation,opmerking
plain,duidelijk
eloquent,welsprekend
eloquence,welsprekendheid
to narrate,vertellen
to relate,vertellen
mute,sprakeloos
elaborate,uitvoerig
to elaborate on   ,uitweiden over/  uitvoerig in ingaan op
to derive from,afleiden van
scrap,stukje
fictitious/fictional,verzonnen/fictief
outline,overzicht
volume,deel
villain,schurk
to portray,beschrijven
to affirm,bevestigen
affirmative,bevestigend
witty,geestig
odd,eigenaardig
to seal,verzegelen
to enclose,bijsluiten
to mock,(be)spotten
caption,onderschrift
