to indulge,verwennen
indulgent,toegeeflijk
blemish,smet/vlek
candour,openhartigheid
conceited,verwaand
trait,karaktereigenschap
fashion,manier
to amend,verbeteren/
to amend,  veranderen
to make amends for,goedmaken
prudent,verstandig/voorzichtig
by no means,helemaal niet
to own,toegeven
scum,uitschot
harsh,streng/hard
to refrain from,zich onthouden van/niet doen
to induce,ertoe brengen
apologetic,verontschuldigend
crude,grove
to sense,voelen
to lapse into,vervallen in
mischief,kattenkwaad
mischievous,ondeugend
wicked,gemeen/slecht
counsel,advies
to sneer at,neerkijken op
devotion,toewijding
to intrude,storen
greed,hebzucht
greedy,gulzig
greedy,hebzuchtig/inhalig
to tamper with,knoeien aan/zitten aan
