engaging,innemend/aardig
smug,zelfvoldaan
complacent,zelfvoldaan
to meddle in,zich bemoeien met
to question,in twijfel trekken
breach,breuk
to scold,een standje geven
rash,overhaast
to forsake,in de steek laten
unruly,lastig/onhandelbaar
mob,menigte
to grumble,mopperen
to assert,laten gelden
corporal punishment,lijfstraffen
hush,stilte
to hush up,in de doofpot stoppen
to pay homage/pay,eer betonen/
  tribute ,  hulde brengen
deceptive,bedrieglijk
deception,bedrog
content/contented,tevreden
discontented,ontevreden
properly,goed/zoals het hoort
improper,onjuist/onfatsoenlijk
disruptive,verstorend
to alienate,vervreemden
alienation,vervreemding
manners,manieren
to pamper,verwennen
it goes wihout saying,het spreekt vanzelf 
