to disallow,afkeuren
to jeer at,uitjouwen
to endeavour,proberen
senseless,bewusteloos
let alone,laat staan
to eliminate,uitschakelen
honourable,eervol
(im)partial,(on)partijdig
(im)partiality,(on)partijdigheid
to intervene,tussenbeide komen
to comply with/,zich houden aan
  to observe,zich houden aan
to proclaim,uitroepen tot
benefit,voordeel/nut
beneficial,goed/gunstig
mountaineer,bergbeklimmer
rope,touw
trial,beproeving
to descend,afdalen
to utilise,benutten
pursuit,bezigheid
to treasure,bewaren/koesteren
outstanding,uitstekend
heritage,erfgoed
performer,artiest
sculpture,beeldhouwwerk
sculptor,beeldhouwer
specimen,exemplaar
to rehearse,repeteren
highlight,hoogtepunt
pastime,hobby
to secure,bemachtigen
