to disrupt,ontwrichten
disruption,ontwrichting
disruptive,ontwrichtend
occurrence,gebeurtenis
to ascribe to,toeschrijven aan
to divert,omleiden
verge,berm/rand
coach/carriage,rijtuig/koets
terminus,eindstation
overdue,over tijd/te laat
to convey,vervoeren
to be due,moeten aankomen
to pull up,stoppen
jammed/congested,verstopt
congestion,verstopping
! charge,heffing
gently,zacht/voorzichtig
commonplace,gewoon
navigation,scheepvaart
to dazzle,verblinden
vicinity,buurt
to reverse,achteruitrijden
rear,achterkant
ramshackle,gammel
grease,vet
rag,lap/vod
to come about,gebeuren
aisle,gangpad
