bound for,op weg naar
to propel,voortstuwen
distress,nood
craft (mv: craft),vaartuig/vaartuigen
to equip,uitrusten
to encounter,tegenkomen
encounter,ontmoeting
to attach,vastmaken
haphazard(ly) ,op goed geluk/ lukraak
incident,voorval/incident
venture,waagstuk
to venture,zich wagen
to convert,veranderen/verbouwen
formerly,vroeger
convenient,gemakkelijk/handig
either …… or,of …… of
discomfort,ongemak
to pitch,opzetten
fortnight ,14 dagen/2 weken
proprietor,eigenaar
to assure,verzekeren 
to conform with,voldoen aan
property,eigendommen
belongings,eigendommen/spullen
unattended,onbeheerd
to disembark,van boord gaan
in the wake of,als nasleep/gevolg van
