thug,gewelddadige / crimineel
juvenile delinquency,jeugdmisdaad
to seek ,trachten/proberen
correlation,verband
petty crime,kleine misdaad
jeopardy/peril,gevaar
jeopardise,in gevaar brengen
to plot,samenzweren
to assassinate,vermoorden   (van politici)
assassination,moord
to resort to,gebruiken
pursuit,achtervolging
to arouse,wekken
to employ,gebruiken
detection,opsporing
to lure,lokken
brutal,wreed/beestachtig
disgrace,schande
disgraceful,schandelijk
to snatch,grijpen
trail,spoor
to repent (of),berouw hebben (van)
alert,oplettend
to alert,waarschuwen / alarmeren
to be at large,vrij rondlopen
to crack down on,aanpakken 
