to rule/to reign,heersen/regeren
recognition,erkenning
overwhelming,overweldigend
pledge,belofte
the polls,de verkiezingen
to suppress,onderdrukken
to curb,beperken
to abstain from,zich onthouden van
to nominate,nomineren
subject,onderdaan
capacity,hoedanigheid
refuge,toevlucht(soord)
to distribute,verdelen
distribution,verdeling
merit,verdienste
rigorous,streng/drastisch
conspiracy,komplot
prominent,vooraanstaand/prominent
to reform,hervormen
participation,deelname/participatie
sanction,goedkeuring
sanction,sanctie
to modify,wijzigen
to consult,overleggen
consultation,overleg
hence,vandaar/daarom
feasible,uitvoerbaar
empire,(keizer)rijk
