to overhear,toevallig horen
topic,onderwerp
topical,actueel
"issue, to",uitgeven
it makes sense,het is verstandig
it doesn’t make sense,het is onbegrijpelijk
sense,betekenis
to proceed,verder gaan
to gather,concluderen
to observe,opmerken/zien
implication,gevolg
to distort,verdraaien
to certify,verklaren
to convey,uitdrukken/overbrengen
to amount to,neerkomen op
to evade/to dodge,ontwijken
evasive,ontwijkend
to emerge ,blijken
prime,belangrijkste
to brief,instructies geven
briefing,instructiebijeenkomst
currently,op het ogenblik
! device,middel
content,inhoud
to dismiss ,wegwuiven/verwerpen
to take notice,aandacht schenken
to enquire/inquire,vragen/informeren
