to collaborate,samenwerken
collaboration,samenwerking
assembly line,lopende band
to accomplish,bereiken
to commit oneself,zich verplichten
commitment,verplichting
commitment,betrokkenheid/inzet
committed,betrokken/toegewijd
outcome,resultaat
to appeal to,een beroep doen op
to attribute to,toeschrijven aan
scope,ruimte
to opt for,kiezen
to opt out,kiezen om iets niet te doen
skilful,bekwaam/vakkundig
craft,ambacht/  handvaardigheid
to engage,in dienst nemen
pains,moeite
to assign,opdragen
redundant,werkloos/overtollig
redundancy,werkloosheid/overtolligheid
component,onderdeel
to sustain,volhouden
sustained,langdurig
crux,kern
workforce,personeel(sbestand)
to lay off,ontslaan
to be on the dole,een ww-uitkering hebben
engaged,bezig/bezet
clerk,administratief medewerker
