trifle,kleinigheid
trivial,onbelangrijk
ample,volop/ruim
abundance,overvloed
abundant,overvloedig
to cram,volproppen
gravity,zwaartekracht
proportion,deel
innumerable,ontelbaar
to decline,minder worden/achteruitgaan
handsome,flink
rate,snelheid
invaluable,van onschatbare waarde
to surpass,overtreffen
to heighten,verhogen
to range between,liggen tussen
packed,bomvol
immense,enorm
inferior (to),lager (dan)
inferior,minder/slechter
superior (to),hoger (dan)
superior (to),beter (dan) 
excess,te veel/overvloed
excessive,overmatig/teveel
diversity,verscheidenheid
limit,grens
store,voorraad
sole,enige
solely,alleen
to enhance,verbeteren
slight,klein/licht
slightly,een beetje
to fade,langzaam verdwijnen
