perpetual,eeuwig
likelihood/,waarschijnlijkheid
  probability,waarschijnlijkheid
ancient,(zeer) oud
antiquity,de oudheid
excavation,opgraving
to coincide,samenvallen
sheer,puur/louter
lapse,tijdsverloop
dawn,ochtendschemering
dusk,avondschemering
twilight,schemering
former,eerstgenoemde
precious,kostbaar
presently,dadelijk/weldra
customary,gebruikelijk
to constitute,vormen
mature,volwassen
termination,beëindiging
durability,duurzaamheid
lifespan,levensduur
initially,aanvankelijk/eerst
prior to,voor(afgaand aan)
invariably,altijd/steeds
to crop up ,opduiken
prime,bloei
brief,kort
contemporary,modern/eigentijds
to persist,aanhouden
to persist,doorzetten
persistent,aanhoudend
leap year,schrikkeljaar
maiden,eerste
novelty,nieuwigheid/iets nieuws
