inquisitive,nieuwsgierig
shrewd,slim
realm,rijk
imaginative,fantasierijk
to comprehend,begrijpen
(in)comprehensible,(on)begrijpelijk
rigid,star/rigide
ignorant,onwetend
ignorance,onwetendheid
hypocrite,huichelaar
recognition,herkenning
to consent (to),toestemmen (in)
consent,toestemming
to interpret,uitleggen/interpreteren
ambiguous  ,dubbelzinnig/ambigu
to note,merken
lunacy,waanzin
to presume,aannemen
presumably,vermoedelijk
reminiscences,herinneringen
fancy,verbeelding/fantasie
to fancy,zich verbeelden
to fancy,zin hebben in
essence,essentie/belangrijkste
incoherent,onsamenhangend
wits,verstand
persuasion,overredingskracht
persuasive,overtuigend
