to desire,verlangen naar
(un)desirable,(on)wenselijk
folly,dwaasheid
plausible,aannemelijk/plausibel
to view,bekijken
to attend to,letten op
to argue,stellen/betogen
to envisage,zich voorstellen/zien
to dwell on,stilstaan bij/ uitweiden over
unanimous,unaniem
thesis,stelling
trustworthy,betrouwbaar 
to resolve,oplossen
to resolve,besluiten
resolution,voornemen/besluit
to take account of,rekening houden met
to occupy,bezighouden
preoccupied,in beslag genomen/verdiept
to grasp,begrijpen
to recollect/,zich herinneren
  to recall,zich herinneren
recollection,herinnering
to adhere to,zich houden aan
prone,geneigd
uncompromising,star/onbuigzaam
to reflect,nadenken
reckless,roekeloos
prodigy,wonderkind
gifted,begaafd
vow,plechtige belofte
notion,idee/notie
