alarmed,ongerust
alarm,ongerustheid
to humiliate,vernederen
humiliation,vernedering
whim,gril/opwelling
to indulge,toegeven aan
amiable,vriendelijk
ghastly,afschuwelijk
attached to,gehecht aan
to fuss,zich druk maken
to grudge,misgunnen
to shrink from,terugdeinzen voor
grave,ernstig
appalling,afschuwelijk
to esteem,waarderen
to detest,verafschuwen
aversion,afkeer
resentment ,wrok
to startle,laten schrikken
marvel,wonder
anxious,bezorgd/ongerust
anxiety,bezorgdheid/ongerustheid
anxiety,angst/vrees 
anxious,verlangend
to abhor,verafschuwen
be a nuisance,overlast geven
what a nuisance,wat vervelend
to depress,deprimeren
matter-of-fact,zakelijk/neutraal
resourceful,vindingrijk
