misgivings,twijfels
strain,spanning/stress
bias,vooroordeel
biased,bevooroordeeld
haunted house,spookhuis
to haunt  ,blijven achtervolgen/kwellen
to affect,raken
to affect,beïnvloeden
to affect,aantasten
to urge,aansporen
urge,(aan)drang
fit,aanval/vlaag
ruthless,meedogenloos
  remorseless,meedogenloos
shyness,verlegenheid
timidity,verlegenheid
to be eager for,verlangen naar
awe,ontzag/vrees
to excite,opwinden
to reproach,verwijten
to consider,rekening houden met
perplexed,verbijsterd
staggered/,verbijsterd
  bewildered     ,verbijsterd
bewilderment,verbijstering
delighted,erg blij
to restrain,beheersen/
to restrain,  bedwingen
restraint,beheersing
wretched,ellendig
ordeal,beproeving/kwelling
to come to ,accepteren/
  terms with ,  aanvaarden
